"start_station_name","total_round_trips","casual_classic_round_trips","casual_electric_round_trips","member_classic_round_trips","member_electric_round_trips"
"DuSable Lake Shore Dr & Monroe St","6711","3893","2346","319","153"
"Navy Pier","5466","3202","1832","254","178"
"Streeter Dr & Grand Ave","4748","3053","1303","278","114"
"Michigan Ave & Oak St","4366","2695","1248","221","202"
"Millennium Park","2926","1710","1033","74","109"
"Dusable Harbor","2852","1612","892","231","117"
"Montrose Harbor","2252","1176","587","346","143"
"DuSable Lake Shore Dr & North Blvd","2216","1188","579","295","154"
"Theater on the Lake","1997","1044","475","365","113"
"Michigan Ave & 8th St","1827","1074","535","121","97"
